@relation Review_sentiment


@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
0.6659999999999999,5
0,4
-0.45109999999999995,3
-0.3089,2
0,3
0,5
0,5
0.11230000000000001,3
0,1
0,4
0.0032000000000000006,2
0,4
-0.5798,2
0,5
0,3
0.004,5
0.4324,2
0,3
-0.335,2
0.004,4
0.004,4
0.4324,5
0,1
0.004,4
0,5
0,1
-0.5413,3
0.3372,1
0.012,1
-0.27649999999999997,3
0,5
0.004,2
0.2126,5
0.008,1
0.2354,4
0,2
-0.329,5
0,4
-0.7207,1
0,3
0,3
-0.3353,1
0.3186,2
0.3303,1
0,3
0.004,3
0.004,4
-0.3089,1
0.0032000000000000006,2
0,2
0,5
-0.2153,1
0,5
-0.5457000000000001,3
0.004,2
0.004,4
-0.7478000000000001,5
0,1
0.3226,5
0.004,4
0,1
0.008,1
0,4
0.223,4
0.004,3
0.2438,4
-0.4438,2
0,1
0,5
0,2
0.1014,5
-0.5365,2
0.004,1
0,5
0,4
-0.0914,4
-0.3353,1
0.0957,5
-0.1935,3
0.002400000000000001,4
-0.0048,5
0.3292,5
-0.3175,2
0.6699999999999999,3
0.6642,2
-0.0048,4
0,3
0,3
0,2
-0.658,1
0.33209999999999995,1
0.008,4
0,4
0.004,5
0,2
-0.313,1
-0.38689999999999997,5
0,3
0,5
-0.0048,1
0.5488,5
0,5
0,1
-0.331,1
0.004,4
0.2101,4
0.004,2
-0.5457000000000001,3
0.004,3
-0.1935,2
0,3
0.0922,2
0.004,3
0,4
-0.0007999999999999995,1
0.0032000000000000006,3
-0.5865,3
0.2318,4
0,1
0,3
0,3
0.2761,1
0,5
0,4
-0.4940000000000001,4
-0.0504,5
0,4
0,2
0,2
0,3
-0.3598,2
-0.1837,4
0,5
0,2
0.016199999999999982,1
0.4324,5
0,2
-0.5656,3
0,5
0,5
0,3
0.1046,2
-1.0425,1
0,5
0,5
0,1
0.004,1
0,5
0,1
0.2101,5
0.004,2
0,5
-0.0413,1
-0.3426,5
-0.4914,3
0.016,2
-0.1975,3
0.004,1
0,1
0.3554,2
-0.2368,4
0,3
0.5905,2
-1.7885,4
-0.329,2
0.004,4
0.6252,4
0,2
0,1
0,3
0.3186,5
-0.0048,4
0.3396,4
-0.19679999999999997,3
0.06450000000000006,4
0,4
0.247,3
-0.4617,1
0,4
-0.4991,1
0.0854,4
0.6699999999999999,3
0.004,2
-0.07480000000000003,5
0.2219,2
0.2198,3
-0.491,2
0.008,5
-0.9885000000000002,4
0,5
0.4539,2
0,1
0,2
-0.0048,4
0.24420000000000008,2
0,5
0,2
0.008,1
0,3
0,5
0.004,3
-0.0048,4
-0.0048,1
-0.329,1
0,4
-0.0048,3
-1.8204,2
0.008,1
0,1
0,4
0,5
-0.3654,1
0,5
0.23500000000000001,3
0,3
0,5
0,2
0.09809999999999999,2
-0.331,1
0.004,4
0,4
0,2
0.0854,3
0,2
0.004,4
0.4488,1
0.004,5
-0.5365,2
-0.2023,5
-1.7677999999999998,1
0,3
0.8850999999999998,4
0.4801,3
0.010499999999999954,4
-0.331,3
0.004,5
0.004,5
0,3
0.004,3
0.3554999999999999,2
-2.5044999999999997,1
0,4
0.3303,1
0.004,2
0.004,5
0.0981,1
-0.9152,3
-0.5365,1
0,2
0,4
0.004,5
0.1175,5
-0.0048,5
-0.2457,4
-0.5783,2
-0.5365,2
0,2
0,4
-1.3641999999999999,5
0.4652,2
0.003799999999999991,1
0,3
0,3
0,4
-0.0048,5
0,1
0,3
0.2198,1
0.004,3
0.008,1
0,5
-0.656,5
-0.1122,4
-0.06520000000000004,3
-0.0048,4
-0.8805999999999999,3
-0.6878,2
-0.0933,2
0,5
0.004,4
-0.4979,2
0,4
-0.8299000000000001,1
-0.8542000000000001,3
0.8850999999999998,4
0.2238,1
0.004,4
0.004,3
0.2578,3
0.09620000000000001,1
0.004,2
0.004,1
-0.2945,2
-0.6192,2
-0.0413,4
0.21230000000000002,3
0.4516,1
0,4
0.09340000000000001,2
0.09620000000000001,4
0.3581,2
0,4
0,1
0.004,4
0,5
-0.0048,2
-0.0048,2
0,3
0.016100000000000003,2
-0.5327999999999999,1
0,5
0.004,3
0.008,1
0,4
-0.8694,5
-0.0007999999999999995,1
0.4936,4
-0.8654999999999999,5
0.2438,3
0,5
0.4324,5
-0.3602,3
0.7649,4
0,3
0.008,5
0.004,1
0.004,1
-0.44389999999999996,5
0,2
0.008,3
0.43479999999999996,5
0,2
-0.5428999999999999,5
0,3
0,4
0.09000000000000001,1
0.2398,1
-0.2153,2
0,1
0.004,3
0.195,5
0.004,4
0,3
-0.331,2
0,5
0,3
-0.327,3
-0.04640000000000005,2
0.2618,2
0,5
-0.10009999999999997,4
0,1
0,1
0.004,3
0,4
0.004,4
0,1
0.004,4
0.6584,1
0.2318,5
0.1175,5
0,3
-0.0007999999999999995,1
-0.0811,4
0.2578,1
0,1
0,5
0,2
0,2
0.5544,5
0.6088,2
0,4
0,2
0.03420000000000001,1
-1.073,2
0,3
0.004,5
-0.43429999999999996,3
0.004,5
0,4
0,3
0.2358,4
-0.331,2
0,5
0,3
-0.03949999999999999,4
0.5047,3
0.2398,1
0,4
0.008,2
0.0874,5
0.4366,3
0.373,2
0,3
0.004,5
-0.10860000000000003,1
0,4
-0.1815,1
0,3
0.2318,1
-0.327,4
0,4
0.2578,2
0,1
-0.5886,4
-0.331,1
0.33030000000000004,5
0,4
0,5
0.4525,3
0,5
0,5
0.0646,4
0.3128,3
0,1
0,1
-0.329,4
0.0974,5
-0.1975,2
0,2
0,5
0,4
0,3
0,2
0.004,2
0,1
0,3
0,2
-0.07880000000000004,5
0.2618,5
-0.333,3
-0.9488000000000001,2
-0.3654,1
0,3
0.20019999999999996,4
0,2
0,4
0,4
0.004,5
0,4
1.2802,2
0.008,2
-1.8901999999999999,4
0.004,5
-0.333,3
0.3353999999999999,1
-0.3247,3
0,2
0.004,2
-0.4287,1
0.004,1
-0.5325,4
0,5
-0.331,3
0,3
-0.7348,4
0.004,3
0.0825,3
0,1
0.3514,5
0,2
0,1
-0.08920000000000003,4
-1.2547,2
0.2126,5
-0.5365,1
-0.5325,4
0.13540000000000005,2
0.2112,2
0.004,5
0,1
-0.0619,1
0.004,3
0,2
0.40090000000000003,5
0,1
0,2
0,3
0,4
0.8919000000000001,3
0,1
0.645,5
0,4
0,3
0,5
0,5
0,3
0,5
0.1802,1
0.5196,5
0.012,3
0.004,4
-0.0007999999999999995,2
0,4
0.3186,4
-0.4902,1
0,5
0,2
0.6643999999999999,3
0.2384,5
0.004,5
0.507,4
0,1
0,1
0,1
0.2618,1
0.6621999999999999,3
0,3
0,3
0.004,2
0.2137,4
0.008,3
0,3
0.004,1
0.5682,2
0,3
0.5966,2
0,4
0.004,4
0.2141,5
0.004,5
0.6795000000000001,1
0,2
0.3493,3
0,2
0,2
0.4396,1
0,2
0,5
0.0974,4
-0.327,1
0,5
0,4
0.09140000000000001,2
-0.0013000000000000234,4
0,5
0,4
0,2
0.10139999999999999,2
0.1131,5
0.004,5
0.9268000000000001,5
-0.7203,2
0.004,1
-0.8200000000000001,3
0,1
0,1
-0.1791,1
0.004,2
0.2438,4
0.723,4
0.004,5
0.012,1
0.2238,1
0.2318,1
0.055900000000000005,3
0.0997,3
0.004,4
0.32520000000000004,3
-0.1583,2
0,4
0,4
-0.5483,2
0.0957,2
0.6816,3
0,5
-0.2833,3
0,5
0,2
0,3
0.008,1
0,4
0.5106,3
0.0974,2
0.008,5
0,3
0,1
-0.1798,2
-0.331,4
0.004,5
-0.3255,5
0,4
0,1
0,4
-0.2201,3
0,5
0,4
-0.331,5
0,2
0.004,1
0,5
-0.333,4
0.004,3
0.004,3
0,5
0,3
0.3557,3
0.008,2
0.5569999999999999,1
0.004,3
0,1
-0.4979,2
0,4
0,1
0,1
-0.031,4
0,5
0,3
0,2
-0.33780000000000004,2
0.36880000000000007,2
-0.6023,1
0,1
-0.334,2
1.9971,4
0,3
0.004,3
-0.321,3
-0.4697,4
0,5
0,1
0,5
-0.4851,4
0.33020000000000005,5
-0.73,1
0,4
-1.8188,2
-0.2167,5
-0.333,4
0.008,2
-0.1602,4
0,1
-0.6652,3
0,5
0.008,5
-0.7455,2
1.1265999999999998,3
0,1
0.09620000000000001,1
0.5494,3
0.004,4
-0.20989999999999998,3
0,1
0.008,3
0.004,3
0,5
0,1
0,1
0,4
-0.031,2
0.0974,5
0.4896,4
0.0957,1
0,4
0.004,5
0,4
0,5
0,1
0,5
0.3186,5
0.004,4
0,1
0.004,4
0.3052,5
0,1
0.0908,4
0,4
0,1
0,3
0,5
0.004,2
-0.54,2
0,2
0,2
0,5
-0.4779,2
0.2318,3
0,2
0,2
0,2
0.004,3
-0.333,3
0,4
0.4396,5
0,2
0.0383,5
0,3
0,4
-0.331,2
-0.5325,5
0.004,4
0,3
0.012,3
0.004,3
0.25299999999999995,3
0.008,5
0,4
-0.057099999999999984,1
0,4
0.1127,5
0.7688,1
0.403,4
0,4
0.004,4
0.004,4
0.43879999999999997,3
0,2
0,2
0,3
0,5
0,4
0.008,1
0,4
0,1
0,2
0.35150000000000003,1
0.004,3
-0.5413,2
0,3
0.2578,2
-0.6643,2
-0.1929,5
0.3324,2
0,2
0.3514,5
0.004,2
-0.5187,1
0.4264,5
-0.3049,1
-0.33580000000000004,3
0.2578,1
0,1
0,5
0.004,1
-0.8360000000000001,5
0,3
-0.8218,3
0,4
0,2
0,3
0,4
0,1
0.4364,3
0,2
0.004,5
0,5
0,2
0,4
0.4792,3
0.0352,1
-1.3085999999999998,2
0,1
0.7217,4
0,1
0,5
0.3378,4
0.0135,5
0.2101,5
-0.0048,2
-0.503,1
0.4668,5
0.4364,5
0.004,5
0,1
0,4
0,5
0.9952,1
0.2101,1
0,3
-0.6482,1
-0.0048,3
0.3588,4
0.24549999999999997,4
-0.5365,2
-0.1846,3
0,1
0.4918,4
-0.5365,2
0.25179999999999997,5
0.2188,4
0,2
-0.3503,3
0.012,3
0,2
0,2
-0.10409999999999997,1
0.004,1
-0.7708,1
-0.3325,5
0,4
-0.34290000000000004,2
-0.10409999999999997,4
-0.333,5
0.35899999999999993,3
0,2
-0.04640000000000005,2
0,4
0.004,5
-0.014400000000000024,3
0,4
0.0989,4
-0.30190000000000006,1
0,4
0,3
0.004,5
-0.0048,1
0.2318,3
0.004,1
0,5
-2.28,3
-0.2945,3
0.004,1
0,1
0.2578,2
-0.031,2
0.191,5
-0.0504,5
-0.1156,4
-0.329,5
0.2112,2
0.004,3
0,2
-0.1975,4
0,3
1.2737,5
0.2053,5
0.004,1
0.2532,2
-0.4697,3
0.10420000000000001,1
-0.18980000000000002,4
0.016,4
0,2
-0.3129,2
-0.1302,3
0.36920000000000003,1
0.2104,5
0.0032000000000000006,3
0.18020000000000003,4
0,4
0,1
0.2198,4
0.2198,5
0.7101999999999999,1
-0.6541,3
0,4
0,2
0,4
0,4
-0.41500000000000004,4
0.004,5
-0.0007999999999999995,1
0.37320000000000003,1
0,1
0,5
0,3
-0.0384,3
0,3
0.2198,2
0,4
0,5
-0.0048,5
-0.0413,2
-0.5128,3
0,1
0.004,3
0.004,5
-0.6315,2
0.004,2
0.5402,1
0.1131,1
-0.1975,2
0.2101,5
0.2325,2
0,2
-0.3455,3
0,4
0,3
-0.32380000000000003,1
0,5
-0.2201,3
-1.3541999999999996,2
0,2
0.2126,5
-0.44249999999999995,4
0,1
0.004,2
-0.1935,2
0.4324,5
0,4
0,3
0,5
-0.4537,3
-0.08920000000000003,3
0.191,4
0,1
0,1
0.004,1
0,5
-0.5325,2
0.3516,2
-0.5365,3
0,5
-0.0048,2
0.2578,1
0.0922,5
0.004,1
0,4
0,4
0,3
0.004,5
-0.5285,1
0.007199999999999929,4
0,2
0.23500000000000001,3
0.004,4
-0.7002,1
0.004,4
0.2578,1
-0.4657,2
0,5
-0.3129,3
0,5
-0.4962,5
0.04370000000000002,3
-0.2502999999999999,4
-0.3353,2
-0.3211,4
-0.001599999999999999,2
-0.0774,2
0.2461,3
0,4
-0.7967,1
0.4436,5
0,3
0.004,2
0.4627,2
0,4
0.004,1
0,4
0.004,4
-0.331,3
0,5
-0.19869999999999988,5
-0.0048,1
-0.0915,3
0.24420000000000008,2
0,5
-0.16740000000000005,1
0.004,2
-0.011899999999999997,2
0,4
0,5
-0.24870000000000006,3
0.09620000000000001,1
-0.3379,5
0,3
0,2
0.6621999999999999,3
-0.20319999999999988,4
0,1
0,5
0.4561,2
-0.0048,1
0,3
-0.0048,1
0.33949999999999997,4
0.2266,2
-0.331,3
0.3597,5
0,1
0,2
0.3005,5
0,5
0.2532,2
0.8170999999999999,4
0,3
0,3
0.004,5
0,4
-0.21389999999999998,4
0,4
0.008,1
0.012,3
-0.3401,1
-0.4697,1
0.0854,4
0,4
0.004,4
-0.2353,2
0.4324,2
0,2
0.08940000000000001,5
0,1
0.004,2
-0.0442,2
0,5
0,5
0,5
0.004,2
0,4
-0.005599999999999999,2
0.2266,1
0.008,1
-2.28,3
0,4
-0.3654,3
0.004,3
-0.04710000000000003,1
0.008,3
0,3
-0.0007999999999999995,5
-0.0048,3
0,4
-0.08360000000000006,3
0,3
0,3
0,4
-0.331,1
0,1
0,3
0.6088,2
0.004,5
0,1
0.004,2
0.004,1
0,5
0,4
0.5367,5
0,5
0.9952,4
0,1
0.004,4
0.004,2
0,5
1.5228,5
0,2
0.004,5
0.004,2
0.43579999999999997,1
-0.34290000000000004,2
0,3
-0.5365,5
0.004,2
0,3
0.345,4
-0.0048,1
0.6762,3
0.004,3
-0.16720000000000007,4
0.4324,5
0.004,5
0.373,3
0,3
0,5
0,3
-0.333,4
0,5
-0.331,1
0,2
-0.0048,2
0.007200000000000001,1
0,2
-0.3654,3
0.008,2
-0.0007999999999999995,1
0.004,1
-0.4979,4
-0.325,3
0.2578,5
0.09340000000000001,1
0.1037,4
0,2
0,1
0,4
0.008,4
0,5
0.47320000000000007,4
0.2658,3
0,5
0,1
0.004,4
0.004,1
-0.325,4
-0.5365,2
0.3372,1
0,1
0.2712,3
0.4364,4
-1.7844,4
0.6404,2
-0.3129,1
-0.1975,2
0,5
-0.0264,3
0,4
0.2141,5
-0.0007999999999999995,1
-0.0048,5
-0.12589999999999998,1
-0.7268,3
-0.6694,2
0,3
0.3476,4
-0.325,4
0,3
0,5
0,5
0,2
-0.3129,4
0.008,4
0.1881,3
0,1
-0.5325,4
0,3
0.004,1
0,1
0,5
-0.0144,3
0,1
0,2
0.004,4
0,5
0,3
0,5
0,2
0,2
0.004,5
0,2
0,2
0,5
0.2618,1
0.1167,3
0.012,2
0,4
-0.6459,3
0,2
0.033999999999999975,3
0,1
-0.45109999999999995,3
0,4
0,4
0,1
-0.0048,2
-0.014400000000000024,2
0.4628,5
-0.3654,1
0.004,4
-0.5265,1
0,5
-0.0048,2
0,4
0,5
-0.0048,2
0,5
0.2438,4
-0.3462,2
-0.3413,1
0.3396,4
0,4
-0.42200000000000004,5
0.6779999999999999,5
-0.6398,1
0,2
0.4404,1
1.3876,3
0,5
0,3
0.0957,1
0.2618,5
0,3
0.016,4
0.004,5
-0.33580000000000004,1
0.3372,1
0,3
-0.3525,2
0,4
-0.1272,2
0,5
0.24129999999999996,3
0,4
-0.0048,3
-0.0048,3
0,1
0,2
0,2
0.008,4
0,5
0,3
-0.583,1
0,5
0.3372,3
0,3
0.004,2
-0.3089,2
0,5
0.4324,4
0.004,4
0,5
0.0957,2
-0.3313,2
0,3
-0.5365,3
0,4
-0.3283,2
0,4
0.09620000000000001,3
0.004,4
0,3
0.1046,4
0,5
0.9992,2
0.3226,1
0,1
0.004,1
0,2
-0.325,3
0,1
0,5
0,4
-0.0007999999999999995,5
0,4
0,5
0.004,1
0.004,5
0,3
0,1
-1.4583,1
0.004,5
0.2578,4
0.004,2
0.012,3
0,1
-0.01600000000000005,4
0,4
0,1
0,1
0.195,5
0,4
0.2234,5
0.373,3
-0.12229999999999999,4
0.008,4
0.4708,3
0.02,2
0,1
0.3372,2
0,3
-0.3534,5
0.004,1
0,4
0,2
0.2101,5
0.018500000000000016,2
0,1
0,3
0,3
0.004,2
0,1
0.004,4
0.004,1
0.004,1
0.004,4
-0.5365,3
0,5
-0.321,3
0.9851999999999999,2
0,1
-0.1935,1
-0.1374,5
0,5
0,2
0.3436,3
0.2024,2
0,4
0,3
0,2
-0.1975,4
0.7736000000000001,5
0,5
0.004,2
0,3
0.23900000000000002,5
0.004,3
0.004,4
0.004,5
-0.331,1
0,3
0.2318,3
-0.2207,4
0.2358,1
0,2
1.7071000000000003,3
0.6762,2
-0.327,2
-0.5365,5
0.004,4
0.191,1
0.004,1
0,2
0.6094999999999999,1
0,4
0,5
0.004,5
0.008,1
-0.2238,1
-0.2098,2
0.004,3
-1.8214000000000001,3
0.004,5
0,2
0.23500000000000001,3
0,4
-0.7002,1
-0.065,3
-0.0007999999999999995,5
0,4
0,2
0,5
0,2
0.3571,4
0.5044,3
0.09140000000000001,1
-0.006400000000000017,2
-0.5413,1
0,5
0,4
-0.666,4
0.1014,2
0.004,4
0.004,3
0.2101,5
0.2381,5
0.3372,1
0.3941,5
0,3
0,5
0.5494,3
-0.0048,3
-0.3353,1
-0.0048,5
0.09920000000000001,4
-0.16430000000000003,2
-0.0048,1
0,4
0.3452,1
0,3
0,1
-0.0048,5
0.191,2
-0.331,2
0.016,3
1.2432,4
-0.09920000000000001,3
-0.0695,1
0,2
0,5
0,2
-0.5365,5
0,5
0.7853999999999999,4
-0.2579000000000001,1
0.08460000000000001,3
0.481,3
0.2318,2
0,4
0,5
-0.8482000000000001,4
0.36880000000000007,2
0,4
0.008,4
0,1
0.008,2
-0.331,2
0,4
0.11710000000000001,3
0.2198,1
0,5
-0.5671999999999999,2
-0.24440000000000003,5
0,1
0,4
0.004,5
0,1
0.004,2
1.2802,2
-0.5239,5
0,5
-0.5325,5
0,3
-0.9005,5
0.0718,3
0.004,1
-0.0442,2
0.24380000000000002,3
-0.0048,2
0.3387,4
0,3
0,5
0.09620000000000001,3
0.004,1
-0.19209999999999997,3
0.008,1
0,1
0.004,5
0.08940000000000001,5
0,1
0,1
0,4
-0.0659,2
0,4
0.09620000000000001,4
0,4
0,2
0,3
0.0974,4
-0.3654,3
-0.1951,1
-0.3409,2
0,4
0.2318,3
0,3
0,1
0.2112,5
0,4
0.012,2
-0.0048,2
1.1617,4
0.0974,1
0.8353999999999999,2
0.004,5
0.20019999999999996,4
0.008,3
0,1
0,3
0,2
0,2
0.3306,4
-0.0048,2
0,3
0,5
-0.33780000000000004,3
0.2438,4
0.2101,3
0,1
0.08150000000000002,5
0,1
-0.1975,1
0.004,3
0,5
0.3186,1
0,3
-0.014099999999999974,3
0,2
0.008,2
0.008199999999999985,3
0.2244,2
0,5
0,5
0,2
0,2
-0.009899999999999964,4
0,4
-0.3883000000000001,4
0.004,1
-0.0007999999999999995,3
-0.5325,4
0.671,2
0,4
0,4
0.0927,1
0,1
0,5
0,5
0.004,1
0,5
0,1
0,5
0,2
0.1006,4
0.0032000000000000006,5
0.11610000000000001,4
0.2212,3
0.2867,4
0.004,1
0,3
0.3397,4
-0.0946,2
-1.3924,4
-0.14020000000000002,3
0.016,3
0,3
0,4
0,3
0.004,5
0.004,2
0.004,5
-0.7991,2
0.2578,4
-0.5373,2
0,2
0,4
0.2244,2
0.008,5
0.004,5
0,1
-0.3445,1
0.004,1
-0.5537,1
0,5
0,1
-0.3273,1
0,3
0.8124,5
0.004,4
0,5
0.24130000000000001,2
0,3
0,4
0.3372,1
0,2
-0.0048,5
1.8852,4
0.0974,5
0,2
0.2318,3
1.1175,5
0.2318,3
0.5295000000000001,4
0.3372,1
0.7317,2
-0.4238,1
0.243,5
0.35710000000000003,2
0,5
0.2358,1
0.191,1
-0.2207,1
-0.3654,5
0.004,3
0.004,2
-0.5130000000000001,5
0,4
-0.8694999999999999,5
0,5
0.004,2
-0.329,3
0.2192,4
0.3514,5
1.618,3
-0.308,5
0.008,1
0,4
0.09620000000000001,1
-0.863,3
0.012,1
0.4324,3
-0.0504,3
0.004,3
0.3514,4
-0.6568,2
0.4369,4
-0.7308,5
0.004,3
0,5
0.008,4
0,1
0.5015999999999999,4
-0.0048,4
-0.7588999999999999,2
0.3572,1
0.08120000000000001,3
0.007200000000000001,1
-0.24309999999999998,1
0,2
0.008,4
0.8799999999999999,3
0,2
-0.5128,2
0.004,2
0.21180000000000002,2
0.2064,4
0,1
-0.333,4
0.004,1
-0.3775,3
-0.503,2
0.02,1
0.3372,1
0,4
0,2
0.2578,4
0,4
0,3
0.0718,3
0.004,5
0.2521999999999999,1
0,5
0.004,4
0.4548,2
0.004,5
-0.09920000000000001,3
-0.0048,3
-0.2445,1
0,4
0.004,2
0,3
-0.5483,2
-0.2945,2
0,3
0.008,3
0.004,4
0,5
0,2
0.004,2
0,3
0.004,4
0.08860000000000001,1
0,1
0.004,1
0,2
0,5
0.004,1
0.008,5
0,5
0.008,3
-0.5307999999999999,2
0,5
0.7333999999999999,5
0,4
0.008,5
-0.061,4
0.004,5
0,3
-0.329,5
0,1
0.1175,1
0.012,3
0.008,1
-1.8890999999999998,1
0,5
0.004,5
0,2
0.004,2
0,4
0.004,2
0,2
0.004,5
0.004,3
-0.5365,4
0,3
0,1
0.004,3
-0.5325,3
0,2
0.004,4
-0.3353,2
0,4
-0.021199999999999993,5
-2.6178,3
-0.1336,2
0.199,1
0,4
0.012,4
0,3
0.36819999999999997,1
1.4049,3
0,2
0.0957,4
-0.06029999999999999,4
0.2578,1
0,1
0,5
0.004,2
0.012,5
-0.347,2
0,5
0,4
0,1
0.010400000000000001,3
0.2948999999999999,5
-0.37600000000000006,4
0.004,4
-1.0805,4
-0.0048,1
0.2131,5
0.004,5
0,2
0.004,5
0,5
0,2
-0.10920000000000002,1
-0.6458,1
0,2
0,4
0,5
-0.3009,2
0,1
0,5
-0.358,2
0,1
-0.0048,4
0.004,5
-0.0007999999999999995,4
0,4
0.2438,5
0,4
0,3
-0.2206,3
-0.5365,2
-0.028199999999999992,4
-0.329,3
0,2
0,4
0.2358,3
-0.0048,5
0.3186,1
-0.3386,1
0.11349999999999999,3
-0.2415,3
0.004,3
-0.5325,2
0,3
0,3
-0.15549999999999997,2
0,2
0.008,1
0,1
-0.07379999999999999,3
-0.12409999999999999,1
0,4
0,5
0.10320000000000001,2
-0.5205,3
0.004,3
0,1
-0.1935,2
0.004,4
0.004,5
0,4
0.3324,2
0.6291000000000002,4
0,3
0.008,1
-0.5203,4
0.004,1
0,2
0.3186,5
0.2358,4
0,4
0.2198,5
0.016,2
0.3412,1
0.2446,4
0.4324,5
0.004,5
0,4
0,1
0.0957,2
0,1
0,3
-0.2833,3
0.14240000000000003,4
0,3
0.5106,5
0.004,2
0,2
0,1
0.004,1
0,3
-0.3466,3
0,5
-0.3427,3
0,5
0.004,1
0.004,4
-0.024599999999999997,2
-0.12189999999999998,1
-0.0104,2
0,5
-0.07480000000000003,5
0.2198,3
0,5
0,3
0.44020000000000004,1
-0.023,2
-0.4411,4
0,2
0.004,3
-0.0048,5
0.2583,2
-0.6785,5
-0.8916999999999999,4
0,2
0,4
-0.2945,1
0.012,1
0,4
-0.321,2
0.004,2
-0.03420000000000001,5
-0.329,5
0,3
0.004,4
0,1
0,5
0.2578,1
-0.333,4
0,5
-0.377,2
-0.01720000000000005,3
0.208,5
-0.3129,2
-0.5017999999999999,4
0.013000000000000036,4
0.008,5
0.3186,5
0.004,1
-0.26280000000000003,1
-0.0625,1
-0.333,3
0.2578,1
0,3
0.008,3
